t,discriminant,bad_primes,conductor,rank_bounds,rank,analytic_rank,count_p17,count_p19,gens
-1549,921414006976,2;149;503;192097,921414006976,"(2, 4)",rank_ERROR: RuntimeError: rank not provably correct (lower bound: 1),2,19,17,"gens_ERROR: RuntimeError: Unable to compute the rank, hence generators, with certainty (lower bound=2, generators found=[[0, 2, 1], [1081624567466932404182536212768, -308066929464108015927463407499342, 13086219898247204621463949]]).  This could be because Sha(E/Q)[2] is nontrivial.
Try increasing descent_second_limit then trying this command again."
-1226,452973809872,2;28310863117,226486904936,"(1, 1)",1,1,19,17,[(0 : 2 : 1)]
-903,178358532864,2;3;163;1424771,2786852076,"(1, 1)",1,1,19,17,[(0 : 2 : 1)]
-580,45807637840,2;5;89;137;151;311,45807637840,"(2, 2)",2,2,19,17,"gens_ERROR: RuntimeError: Unable to compute the rank, hence generators, with certainty (lower bound=1, generators found=[[0, 2, 1]]).  This could be because Sha(E/Q)[2] is nontrivial.
Try increasing descent_second_limit then trying this command again."
-257,3560586688,2;89;625103,3560586688,"(1, 1)",1,1,19,17,[(0 : 2 : 1)]
66,-143158704,2;3;13;61;3761,71579352,"(3, 3)",3,3,19,17,"[(-1 : 9 : 1), (0 : 2 : 1), (-45 : 277 : 1)]"
389,-17064136448,2;23;2898121,533254264,"(2, 2)",2,2,19,17,"[(0 : 2 : 1), (165/1681 : 199792/68921 : 1)]"
712,-98962884656,2;29;1531;139309,98962884656,"(2, 2)",2,2,19,17,"[(0 : 2 : 1), (-731/4 : 34169/8 : 1)]"
1035,-297599941440,2;3;5;1093;94541,99199980480,"(1, 1)",1,1,19,17,[(0 : 2 : 1)]
1358,-664735844912,2;29347;1415681,332367922456,"(2, 2)",2,2,19,17,"[(0 : 2 : 1), (818426898091261045/4542435401825412036 : -68143261057233171756270744043/9681288002220486435962291784 : 1)]"
1681,-1252131133184,2;4891137239,78258195824,"(3, 3)",3,3,19,17,"[(0 : 2 : 1), (153/4 : 12751/8 : 1), (12/121 : 6128/1331 : 1)]"
